"Candidat-e","Civ.","Nom","Prénom","Mandat","Département ou collectivité","Commune ou circonscription","Publication"
"ASSELINEAU François","M","ROUILLARD","Pierre","Maire","Orne","Saint-Agnan-sur-Sarthe","01/03/2017"
"ASSELINEAU François","Mme","NAVEAU","Martine","Maire","Indre-et-Loire","Villiers-au-Bouin","01/03/2017"
"ASSELINEAU François","M","AUGEREAU","Nicolas","Maire","Sarthe","Fatines","01/03/2017"
"ASSELINEAU François","M","MOLAS","Gervais","Maire","Gers","Saint-Léonard","01/03/2017"
"ASSELINEAU François","M","DROUET","Dominique","Maire","Sarthe","Maisoncelles","01/03/2017"
"ASSELINEAU François","M","LEDUN","Frédéric","Maire","Lot-et-Garonne","Dévillac","01/03/2017"
"ASSELINEAU François","M","CHRISTOLHOMME","François","Maire","Ain","Birieux","01/03/2017"
"ASSELINEAU François","M","LE GOFF","Jean-Yves","Maire","Finistère","Scaër","01/03/2017"
"ASSELINEAU François","M","LEVOYET","Bernard","Maire","Côte-d'Or","Vieilmoulin","01/03/2017"
"ASSELINEAU François","M","POCHOLLE","Pascal","Maire","Pas-de-Calais","Marenla","01/03/2017"
"ASSELINEAU François","M","DELNOTT","François","Maire","Seine-Maritime","Saint-Denis-le-Thiboult","01/03/2017"
"ASSELINEAU François","M","LACHAUME","Jean-Paul","Maire","Eure-et-Loir","Santilly","01/03/2017"
"ASSELINEAU François","M","CHAREYRE","Eric","Maire","Drôme","Vaunaveys-la-Rochette","01/03/2017"
"ASSELINEAU François","M","GUYON","Jean-Pierre","Maire","Seine-et-Marne","Maisoncelles-en-Gâtinais","01/03/2017"
"ASSELINEAU François","M","ARNAUD","Daniel","Maire","Drôme","Tersanne","01/03/2017"
"ASSELINEAU François","M","ROSE","Dominique","Maire délégué-e","Manche","Torigny-les-Villes","01/03/2017"
"ASSELINEAU François","M","GOURIO","Alain","Maire","Orne","Mardilly","01/03/2017"
"ASSELINEAU François","M","GUILLAUME","Lionel","Maire","Orne","Merri","01/03/2017"
"ASSELINEAU François","M","AUVRAY","Bruno","Maire","Orne","Le Grais","01/03/2017"
"ASSELINEAU François","M","ORTHOLAN","Jean-Jacques","Maire","Gers","L'Isle-de-Noé","01/03/2017"
"ASSELINEAU François","M","SANSON","Albert","Maire","Moselle","Chenois","01/03/2017"
"ASSELINEAU François","M","PETIT","Bernard","Maire","Seine-et-Marne","Ichy","01/03/2017"
"ASSELINEAU François","M","DUPIOL","Jean-Claude","Maire","Gironde","Cudos","01/03/2017"
"ASSELINEAU François","M","LAMBROT","Jean-Serge","Maire","Gironde","Lados","01/03/2017"
"ASSELINEAU François","M","BLANGERO","Gilbert","Maire","Gironde","Saint-Pardon-de-Conques","01/03/2017"
"ASSELINEAU François","M","BEHAREL","Pascal","Maire","Eure","Rosay-sur-Lieure","01/03/2017"
"ASSELINEAU François","M","LEROY","Thierry","Maire délégué-e","Eure","Vexin-sur-Epte","01/03/2017"
"ASSELINEAU François","M","HERVIEUX","Francis","Maire délégué-e","Calvados","Souleuvre en Bocage","01/03/2017"
"ASSELINEAU François","M","DESLANDES","Rémy","Maire","Manche","Gouvets","01/03/2017"
"ASSELINEAU François","M","VADROT","Guy","Maire","Nièvre","Marigny-sur-Yonne","01/03/2017"
"ASSELINEAU François","M","GIRARDEAU","Daniel","Maire","Vienne","Mirebeau","01/03/2017"
"ASSELINEAU François","Mme","FAYOLLE","Claudette","Maire","Isère","Bougé-Chambalud","01/03/2017"
